Item ID,Item Name,userid,shopid,shop_name,Main Category,Sub Category,Level3 Category,username,Item GMV,Total Placed Order
"2152929793","🔥現貨到🔥總代理公司貨《最新保固 》全新iRobot 960掃地機器人 非Toyota 交車禮","1630590","1629394","Good day","Home Electronic","Household Appliances","Robot Vaccum","pp02358","120743.0","7"
"4725442182","❣️只拆封檢查時試用過一次‼️原廠盒裝愛普生 Epson MOVERIO BT-30C 智慧眼鏡 80吋 個人獨享電影院","5939609","5938306","e224279","Home Electronic","Audio Visual Equipment","Curtain & Projector","e224279","10059.0","1"
"5114006669","『全新品 公司貨』現貨TECO東元 99公升 單門小冰箱 R1092N /R1091W環保R600a新冷媒","1672066","1670856","angela888","Home Electronic","Large Household Appliance","Refrigerator ","angela888","10740.0","2"
"5113739408","特優 *再退貨物稅**SHARP夏普【DW-J18T-N】自動除菌離子除濕機","9533624","9532327","五權家電館 暢貨中心","Home Electronic","Household Appliances","Dehumidifier","wk8498123","28000.0","2"
"2165573813","莊頭北 TG-6001 TG-6001T 瓦斯爐 台爐 天然氣 桶裝瓦斯","10000918","9999621","尚成百貨‧附發票-台灣賣家有保障-您的好厝邊","Home Electronic","Large Household Appliance","Stove","yoshung","26540.357142857145","8"
"3814279764","aaxa M5 高亮LED投影機(電池版) 【全新/開發票/可刷卡】","66209805","66208348","MAGIC 3C ","Home Electronic","Audio Visual Equipment","Curtain & Projector","magic3c","14730.0","1"
"6615353595","台灣版6500含運 台灣保固一年 米家掃地機器人  全新盒裝 米家掃地機器人 台版 台灣保固一年 小米掃地機 掃地機器人","210058415","210054909","a58767456","Home Electronic","Household Appliances","Robot Vaccum","a58767456","111150.0","17"
"2262508449","LG | 17L PuriCare變頻除濕機 晶鑽銀 MD171QSK1","5629981","5628686","映象商城","Home Electronic","Household Appliances","Dehumidifier","imageaudio","17010.0","1"
"7128104871","Dyson HD01 尾牙抽獎 全新未拆","13076671","13075368","龍老雜貨鋪","Home Electronic","Beauty Appliances","Hair Dryer","joypro","11060.0","1"
"6423555346","客製訂單0404-hm-1688送一年份濾心+南投安裝，送漏水斷路器","107199888","107198409","澄軒飲水專賣","Home Electronic","Kitchen Appliances","Water Device","a3258z","16520.0","1"
"92634377","飛利浦健康氣炸鍋專用烤盤HD9910配件~適用HD9220/HD9230","12015233","12013931","Shopping More","Home Electronic","Kitchen Appliances","Electric Rice Cooker & Cooking Pot","psc2963","11380.0","10"
"5702423248","👍優質商品👍 智米智能小米馬桶蓋家用全自動沖洗除菌即熱式坐便器板電動潔身器","406771","406739","jay8888","Home Electronic","Large Household Appliance","Washlet","jay8888","14850.0","3"
"55138068","ikea【電動打奶泡器】打蛋器 攪拌器 打咖啡奶泡 咖啡用品 義式咖啡 牛奶打泡   果汁攪拌器  蒸蛋打蛋器 起泡器","5233637","5232343","life888","Home Electronic","Kitchen Appliances","Coffee Machine","life888","11624.441957415213","127"
"7310961495","議價【可退貨物稅1200】HITACHI日立 RD-360HH/RD360HH 清淨型除濕機 1級能源效率 原廠保固三年","11834601","11833299","暐竣電器有限公司","Home Electronic","Household Appliances","Dehumidifier","sky199025","74497.0","5"
"1800258924","保固！現貨免運含關稅 日本製公司貨 松下 黑科技 國際 ehxr20 xr20 RF射頻 美容儀","5281638","5280344","潔西的宅急便-日本彩妝電器好物代購","Home Electronic","Beauty Appliances","Electronic Face Cleansing Brush","jessiefang110412","51000.0","4"
"7125728747","【電視賣場 】現貨可發  王牌曲面80寸液晶電視機55 60 65 70 75曲屏4K3D智能網絡語音藍牙","203099250","203096067","耐克家居生活館 主營：家電專場 4G網絡迷你無線攝像頭監視器源頭廠家3C產品 ","Home Electronic","TVs","50 Inches or More","fjroknip","29223.0","1"
"6628022287","[現貨] 小米/米家 液晶手寫板 液晶小黑板 10吋/13.5吋","5541731","5540437","sam827","Home Electronic","Others","Others","sam827","28841.0","52"
"7414227365","缺貨~勿下單『大桃園家電』SANLUX 台灣三洋 200L 單門直立式冷凍櫃 SCR-200F","9531348","9530051","大桃園家電","Home Electronic","Large Household Appliance","Freezer","danielho8749","24600.0","2"
"2301783594","品夏3502B 氣炸鍋 氣炸鍋智能觸屏氣炸鍋 無煙油電炸鍋 液晶氣炸鍋 5.2L 110V","5830548","5829248","linyvette0414","Home Electronic","Kitchen Appliances","Fryer","linyvette0414","15560.0","12"
"1182206233","快速出貨🚛= 王電 WO-2688 廚中寶料理機 （調理機.食物處理機.榨果汁機.冰沙機）","63154328","63152887","【輝珍二店】👍廚房&咖啡好物","Home Electronic","Kitchen Appliances","Juice & Soybean Milk Machine","wpc366899","13450.0","5"
"3716961003","折扣碼在內容內 【台灣公司貨-現貨出貨】伊萊克斯Electrolux ZB3104 完美管家渦輪鋰電版吸塵器","11438710","11437410","承志館","Home Electronic","Household Appliances","Vacuum","bb28032979","66378.0","14"
"4100237328","《現貨快速出》 正負零 ±0 空氣清淨機  XQH-X020 專用濾網 X020  原廠公司貨","65921688","65920232","☸激安の殿堂☸","Home Electronic","Household Appliances","Air Purifier","iiooy192","10290.0","8"
"263450551","[VanVan］武漢肺炎折扣 %真品%小漢堡 ""濾心"" Clair 空氣清淨機 e2f 適用","9107634","9106338","Bettervan","Home Electronic","Household Appliances","Air Purifier","bettervan","10800.0","5"
"85163655","4/26前  限時下殺 $2450派登蒸餾水機有現貨WS-303 WS303售完為止!台灣製造 飲水機","11368856","11367556","ss02357","Home Electronic","Household Appliances","Others","ss02357","13000.0","5"
"5109753979","Panasonic國際481L三門變頻冰箱NR-C489TV-A含配送到府+【愛買】","19789390","19788054","愛買線上購物","Home Electronic","Large Household Appliance","Refrigerator ","fe_amart","25425.0","1"
"2379742613","【破盤數位3C】SHARP 夏普 日本製台灣公司貨 空氣清淨機 除菌 除臭 KC-JH50T 水活力空氣清淨機","10780340","10779042","破盤數位3C","Home Electronic","Household Appliances","Air Purifier","add303","21700.0","2"
"4710076588","Panasonic國際牌 雙負離子吹風機EH-NE73","748682","748151","台北布里吉","Home Electronic","Beauty Appliances","Hair Dryer","gd0217","14918.0","11"
"1878250847","【鍋寶】 4.8公升節能電動熱水瓶(PT-4808-D)除氯再沸","6266808","6265499","wiser智慧家","Home Electronic","Kitchen Appliances","Electric Boiler","cct0723","59915.0","44"
"1355982678","【Cuisinart美膳雅】韓綜孝利家民宿出現 直立式鬆餅機 WAF-V100TW","26937223","26935887"," Easy Life 淡水簡單生活館 ","Home Electronic","Kitchen Appliances","Dessert Machine","easy2008life","13194.0","7"
"7230127425","全新 日立 22L水蒸氣烘烤微波爐MRO-VS700T  珍珠白","215174375","215170588","simple life2020","Home Electronic","Kitchen Appliances","Microwave","happy_baby","26500.0","2"
"2064413597","（母親節優惠）掃地機器人 W4（ 免運.送三年耗材）","16482307","16480971","a01489","Home Electronic","Household Appliances","Robot Vaccum","a01489","19000.0","3"
"1290836212","＊黑貓貨到付可刷＊SAMPO聲寶AD-WB712T/6L/除濕機梅雨必備/熱賣品/歡迎自取","11649072","11647770","電器不拿翹","Home Electronic","Household Appliances","Dehumidifier","satanboy1982","10338.0","2"
"525823631","韓國HEUM手持無線旋風吸塵器-充電HU-VC868 通過BSMI 商檢局認證 字號R45129","5918841","5917540","RUYUHOUSE","Home Electronic","Household Appliances","Vacuum","gorden0813","13366.0","8"
"1894409621","好市多代購-5/1-5/10特價- 捕蚊達人光觸媒捕蚊燈2入-GR338PLUS","44276253","44274867","愛買妹!!好市多代購(附發票!當天出貨!!)","Home Electronic","Household Appliances","Mosquito Nest","zz714015","77359.68071315186","90"
"1272527158","林內 RH-9171 (90cm) 倒T式4D直吸排油煙機(玻璃觸控)(可下標刷卡後再來店面自取)","7897151","7895856","HCG 和成 TOTO 凱撒 衛浴 馬桶 臉盆 水龍頭 沐浴龍頭 淋浴柱","Home Electronic","Large Household Appliance","Vantilator","b0912110551","12400.0","1"
"1812598903","🙏新貨到🙏LAICA萊卡 全域溫控瞬熱飲水機 IWHBBOO","55681910","55680486","就是好便宜","Home Electronic","Kitchen Appliances","Electric Boiler","nicengood","13980.0","2"
"1596475407","頂級音響全新sound horn","5431753","5430459","jimmy625625625","Home Electronic","Steroes and Speakers","Subwoofer","jimmy625625625","150030.0","1"
"725529437","【❤MINI髮品】現貨當日出⭐爆款👍 萊斯特 V2800 兩段式 輕型吹風機 超強風 沙龍設計師專用 輕型強風 台製","45727044","45725658","【❤MINI髮品】當日出貨","Home Electronic","Beauty Appliances","Hair Dryer","starbaby20171201","10837.963787265391","24"
"4718016503","BENQ　LED 無線行動投影機 | GV1","1404999","1403950","億爾思數位","Home Electronic","Audio Visual Equipment","Curtain & Projector","mottion","10800.0","1"
"3811913065","幫友代出貨（現貨）HX9312/HX9352","28650757","28649373","WEI691226","Home Electronic","Beauty Appliances","Electric Toothbrush","wen691226","47688.741288278776","7"
"2817032304","《現貨快速出》  DOSHISHA DCSP-1751 復古風 家用型 電動刨冰機 挫冰機 碎冰機 公司貨","65921688","65920232","☸激安の殿堂☸","Home Electronic","Kitchen Appliances","Others","iiooy192","17077.0","8"
"1360484714","【晶工牌】18吋360度八方吹超循環涼風電風扇 LV-1868","77355235","77353763","潮流數位家電","Home Electronic","Seasonal Appliance","Fan-Recirculating","jh80632393","18700.0","17"
"5804618722","比依氣炸鍋現貨BIYIAF25A台灣6.4L比 依 氣炸鍋陶瓷塗層大容量智能110v觸控面板免運貨到付款柯禾電商","122567151","122565327","柯禾電商--氣炸鍋專門店","Home Electronic","Kitchen Appliances","Fryer","emmaray2007","63986.05286665486","23"
"256494307","(現貨)Panasonic 國際冷氣遙控器 方【全機種適用】國際牌 變頻 冷暖 窗型 分離式 冷暖 冷氣遙控器","3589688","3588317","陽昇電器-彰化實體店，讓你安心買","Home Electronic","Large Household Appliance","Air-Con Peripheral","yangsunshop","10899.858974358975","45"
"4611484153","Panasonic 國際牌 EH-SW67 CSW67 溫感蒸氣眼部按摩器 日本製 SW57 香氛片 EH-4S11","205398073","205394834","樂樂Japan 【電器・雜貨・日本直送🇯🇵】","Home Electronic","Beauty Appliances","Others","nakagami01.tw","41041.801983510646","7"
"4513745255","現貨  全新 鍋寶316快煮壺（粉）型號KT-9189P  製造日期2020.03月","25379276","25377940","henry7445","Home Electronic","Kitchen Appliances","Electric Kettle","henry7445","20455.0","48"
"5123257116","【全新現貨】正版SDRD-308無線藍芽音響/貓頭鷹KTV/貓頭鷹麥克風/SD308 SD306 SDRD306","3532919","3531601","蓁蓁雜貨鋪","Home Electronic","Audio Visual Equipment","Microphone","sophia21th","62411.60327677004","38"
"1714822866","金正S70可混搭s99名片大小口袋型)夜光按鍵 收音MP3老人迷你插卡小音箱便攜式播放器隨身聽","24175355","24174019","52pp音樂盒子","Home Electronic","Steroes and Speakers","Radio","52pptw","20893.01689032464","45"
"6918636694","公司貨美國iRobot m6擦地機器人濕拖一體掃地家用智能全自動拖地機器人掃地機器人","218200846","218196898","DOCTOR SELECT選貨博士","Home Electronic","Household Appliances","Robot Vaccum","fuz41729","15941.729037267081","1"
"2509023454","十月下標立即折30~~日本 Panasonic 國際牌 ER-GC10 理髮器 可水洗 附兩刀頭","3175585","3174248","黑石日本美國專業代購","Home Electronic","Beauty Appliances","Shavers","vincenthsu0311","26850.0","26"
"3602353343","安心買🛍台灣現貨 24H出貨  負離子吹風梳 熱風梳 負離子 離子梳 直髮 捲髮 電子梳 吹風機 電捲梳 造型梳","63028498","63027056","安心買 🛍","Home Electronic","Beauty Appliances","Hair Dryer","andy7110","44953.91474858403","110"
"6809456724","棋杰家電館 -LG PuriCare™ Mini隨身淨空氣清淨機","38968059","38966673","棋杰家電生活館","Home Electronic","Household Appliances","Air Purifier","lin168885666","10000.0","2"
"2284554408","貴夫人自動微電腦變頻 百變料理鍋 料理壺  預約 定時 定溫 養生壺 煮粥 滷豬腳 煮麵 KM-603 快煮壺","16266183","16264847","原廠授權店家 公司貨可自取 請洽FB粉專小編 ","Home Electronic","Kitchen Appliances","Multi-function Cooker","vivimall","10080.0","6"
"5803251869","詢價再折 德國 凱馳 KARCHER FC3D CORDLESS PREMIUM HOMELINE 無線電動洗地機","6109117","6107810","kamababe 電器株式会社","Home Electronic","Household Appliances","Vacuum","kamababe","13800.0","1"
"1326310149","(僅配送本島)-【原廠】愛迪爾 8kg超高速不鏽鋼脫水機(E0728 L 百合機)","10267586","10266289","dudu_0309","Home Electronic","Large Household Appliance","Washing Machine","dudu_0309","18240.0","8"
"4226017855","【私訊再折】SHARP 夏普 23坪 KI-J101T-W 日製 AIoT智慧空氣清淨機 自動除菌離子清淨機","40204348","40202962","集雅社旗艦生活館","Home Electronic","Household Appliances","Air Purifier","gseven88","32000.0","1"
"1019198206","歐樂B活力美白電動牙刷(D12)【康是美】","33207884","33206500","康是美Cosmed","Home Electronic","Beauty Appliances","Electric Toothbrush","cosmed.tw","161455.19550941937","245"
